Course_Code,Course_Name,Essential_1,Essential_2,Relevant,Desirable,Cut_off
SUM,Bachelor of Medicine and Bachelor of Surgery,Biology,Chemistry,Mathematics/Physics,General Paper,47.2
NUR,Bachelor of Nursing Science,Biology,Chemistry,Mathematics/Physics,General Paper,42.6
MLS,Bachelor of Medical Laboratory Science,Biology,Chemistry,Mathematics/Physics,General Paper,43.4
MID,Bachelor of Midwifery,Biology,Chemistry,Mathematics/Physics,General Paper,41.8
PHE,Bachelor of Public Health,Biology,Chemistry,Geography/Mathematics,General Paper,40.5
